Ticker,Month,Monthly_Return
POWERGRID,April,7.745850437265768
POWERGRID,August,-6.563278870119092
POWERGRID,December,12.844909609895339
POWERGRID,February,6.4145974416854825
POWERGRID,January,8.835257082896122
POWERGRID,July,5.643203883495135
POWERGRID,June,-1.9843032726195733
POWERGRID,March,-3.7539103232533932
POWERGRID,May,-1.1479591836734766
POWERGRID,November,67.67852699676537
POWERGRID,October,60.76171385617639
POWERGRID,September,5.155714498584417
RELIANCE,April,-1.1974838023141456
RELIANCE,August,-0.3741833300336465
RELIANCE,December,7.962243662030651
RELIANCE,February,2.3937195527985042
RELIANCE,January,10.153420892111216
RELIANCE,July,-3.5073550620132696
RELIANCE,June,3.6462230108651865
RELIANCE,March,-0.42087485674842
RELIANCE,May,-2.4649688043366993
RELIANCE,November,10.15931052494124
RELIANCE,October,14.923042412948204
RELIANCE,September,-2.616323165704869
SBILIFE,April,-3.5840128863384737
SBILIFE,August,4.699391710284337
SBILIFE,December,0.6286657535208666
SBILIFE,February,8.361542488221946
SBILIFE,January,-2.161161930032806
SBILIFE,July,16.765988614042694
SBILIFE,June,7.218828602227815
SBILIFE,March,-2.7169860260026644
SBILIFE,May,-5.0995961393661435
SBILIFE,November,11.159761984955663
SBILIFE,October,25.509690897133353
SBILIFE,September,-2.369291859695566
SBIN,April,8.96083344322828
SBIN,August,-5.454123920477593
SBIN,December,12.295583734149533
SBIN,February,15.509920481741691
SBIN,January,-0.13253293833320692
SBIN,July,3.6166043114199096
SBIN,June,-6.260696737150105
SBIN,March,-2.1842293440811225
SBIN,May,0.03614240106018532
SBIN,November,44.07662429378531
SBIN,October,36.03118003151173
SBIN,September,-4.16590646475704
SHRIRAMFIN,April,4.932661663411117
SHRIRAMFIN,August,7.20080287697583
SHRIRAMFIN,December,2.4984400349432265
SHRIRAMFIN,February,1.7270148506591063
SHRIRAMFIN,January,20.399248358835457
SHRIRAMFIN,July,0.26331538001196264
SHRIRAMFIN,June,16.035310762608848
SHRIRAMFIN,March,-3.699320532963319
SHRIRAMFIN,May,-8.83195848340497
SHRIRAMFIN,November,49.825206991720336
SHRIRAMFIN,October,63.31850464372122
SHRIRAMFIN,September,10.904581040229434
SUNPHARMA,April,-7.804204388522332
SUNPHARMA,August,6.206273320895525
SUNPHARMA,December,2.2903553299492425
SUNPHARMA,February,12.074292410952093
SUNPHARMA,January,12.553064868081734
SUNPHARMA,July,13.10769028353398
SUNPHARMA,June,4.666047279859602
SUNPHARMA,March,3.931377264710595
SUNPHARMA,May,-3.8973008558262046
SUNPHARMA,November,60.840351191542716
SUNPHARMA,October,61.978185641070574
SUNPHARMA,September,6.098736198683884
TATACONSUM,April,1.9728752934163034
TATACONSUM,August,-0.6786113294988885
TATACONSUM,December,15.268396920334604
TATACONSUM,February,5.346932190933704
TATACONSUM,January,3.508492369989883
TATACONSUM,July,9.974933170537703
TATACONSUM,June,2.6476771273271376
TATACONSUM,March,-8.726586077251191
TATACONSUM,May,-2.831825562514496
TATACONSUM,November,5.956998408178834
TATACONSUM,October,16.41314444960519
TATACONSUM,September,-0.2292239726598316
TATAMOTORS,April,1.5772234819853843
TATAMOTORS,August,-2.8879762320866984
TATAMOTORS,December,10.560635055638244
TATAMOTORS,February,8.161639157655099
TATAMOTORS,January,11.839109537060462
